"","virus","pVal","phase","peak.shape","period","p.adj"
"1007","T68_S__k141_160356||full",0.00189482278258499,12,12,24,0.0394135059394885
"1009","T76_S__k141_654887||full",0.00316070467140768,8,16,24,0.0494560923511894
"1012","T4_D_k141_255298||full",0.00226609582406118,16,8,24,0.0427845959328011
"1013","T104_S__k141_11247||full",6.15553484014262e-05,12,12,24,0.0156932407447844
"1015","T56_S__k141_739785||full",0.00143879233478458,12,12,24,0.0349083316051522
"1018","T28_S__k141_31332||full",1.44970903907521e-05,12,12,24,0.0125368766686311
"1019","T64_S__k141_907680||full",0.000298897699999932,16,8,24,0.0216367979306378
"1020","T40_S__k141_253||full",0.00153757408427773,8,16,24,0.0351731874130382
"1021","T80_S__k141_228083||full",0.000253195309661545,12,12,24,0.0206678603286038
"1027","T8_S__k141_578225||full",0.00177132013351933,16,8,24,0.0383981608890215
"1030","T0_S__k141_683057||full",0.000990475545442152,8,16,24,0.0307282189075417
"1031","T36_S__k141_327357||full",0.000243770546696574,8,16,24,0.0205309913659508
"1033","T60_S__k141_677266||full",0.000344045981286852,8,16,24,0.0222849259507213
"1034","T32_S__k141_1222778||full",0.00314204236973546,8,16,24,0.0494560923511894
"1035","T8_S__k141_381079||full_1",0.00189482278258499,12,12,24,0.0394135059394885
"1037","T64_S__k141_776900||full",0.00236910017970032,16,8,24,0.0437069651438199
"1038","T24_S__k141_1152173||full",0.00116386836124688,8,16,24,0.0318980288616093
"1039","T72_S__k141_301976||full",0.0019809510908843,12,12,24,0.0395276058629358
"1040","T12_S__k141_1359660||full",0.00177132013351933,16,8,24,0.0383981608890215
"1041","T56_S__k141_824373||full",0.000814787978763046,12,12,24,0.0287567945992524
"1042","T32_S__k141_792550||full",0.00144048621378356,16,8,24,0.0349083316051522
"1043","T52_S_k141_651924||full",0.000158099637220274,16,8,24,0.0191808874413408
"1045","T12_S__k141_1051339||full",0.00247210453533947,16,8,24,0.0441872882844828
"1046","T36_S__k141_1093671||full",0.00191382773041847,16,4,24,0.0394353515457819
"1049","T4_S__k141_1194750||full",0.00209067332898416,8,16,24,0.0406941832701145
"1050","T84_S__k141_659463||full",0.000782974835027647,12,12,24,0.0287567945992524
"1051","T4_S__k141_947182||full",0.00129683637539079,8,16,24,0.0340951096565825
"1052","T12_S__k141_830247||full",0.00150311604916546,16,8,24,0.0349083316051522
"1053","T32_S__k141_1247055||full",0.00134685581966691,16,8,24,0.0349083316051522
"1054","T100_S__k141_205007||full",0.00117446225254147,12,12,24,0.0319712523699148
"1055","T68_S__k141_34189||full",0.00266923239213971,8,16,24,0.0460675646067504
"1056","T20_S__k141_574842||full",2.74757719990399e-05,8,16,24,0.0139876047649868
"1060","T0_S__k141_490478||full",0.0001969255615578,8,16,24,0.0197039485436387
"1062","T60_S__k141_487335||full",0.00293656101673843,8,16,24,0.0487193480365224
"1063","T72_S__k141_500908||full",6.68640191245242e-06,12,12,24,0.00899469643934016
"1064","T108_S__k141_437049||full",0.000362010896486191,8,16,24,0.0222849259507213
"1065","T4_D_k141_1234534||full",0.000123680501451276,16,8,24,0.0178720782259343
"1066","T0_S__k141_1034440||full",0.00314204236973546,8,16,24,0.0494560923511894
"1067","T28_S__k141_45115||full",7.9533153477559e-07,8,16,24,0.00366064156206852
"1069","T8_S__k141_1243341||full",0.00116344065420643,16,8,24,0.0318980288616093
"1073","T40_D__k141_680238||lt2gene",0.000121030819049067,12,12,24,0.0178720782259343
"1076","T32_S__k141_870575||full",0.000640900090033144,8,16,24,0.0263252837660094
"1079","T80_S__k141_994153||full",0.00168830439766374,8,16,24,0.0370967356488473
"1080","T84_S__k141_246179||full",0.000720243106891782,12,12,24,0.0275078337386082
"1085","T68_S__k141_831025||full",0.00252133971655248,8,16,24,0.0448884689620055
"1086","T84_S__k141_277981||full",0.000686696341601731,8,16,24,0.0269904407936177
"1087","T8_S__k141_771417||full",0.00302328272917257,8,16,24,0.0490444918765397
"1088","T16_S__k141_461243||full",4.64267881528656e-05,16,8,24,0.0149890433111132
"1089","T68_S__k141_1033134||full",0.000668765311338932,8,16,24,0.0266340185012515
"1093","T36_S__k141_1036382||full",0.000167861750248787,12,12,24,0.0191808874413408
"1094","T68_S__k141_106301||full",0.0026918475986769,16,8,24,0.0460957834875117
"1095","T40_S__k141_960573||full",6.44865554681608e-05,12,12,24,0.0156932407447844
"1096","T76_S__k141_297434||full",0.00191136886073252,16,4,24,0.0394353515457819
"1098","T60_S__k141_557360||full",0.000557686923097461,12,12,24,0.0254549126406822
"1099","T64_S__k141_59423||full",6.93346328730943e-05,8,16,24,0.0162102758870135
"1100","T4_D_k141_449057||full",0.000113373792997003,16,8,24,0.0178720782259343
"1101","T4_D_k141_323877||full",0.00106687933114297,8,16,24,0.0317983017443167
"1103","T112_S__k141_356280||full",0.000635107509707133,12,12,24,0.0263252837660094
"1105","T52_S_k141_1263163||full",0.000697762967576348,12,12,24,0.0270763341296373
"1108","T84_S__k141_163904||full",0.000605132768059536,12,12,24,0.0263252837660094
"1111","T4_S__k141_343229||full",0.00198043451364939,8,16,24,0.0395276058629358
"1112","T36_S__k141_772590||full",0.000172022990643426,12,12,24,0.0191808874413408
"1114","T60_S__k141_206853||full",0.00257809152338086,12,12,24,0.0450240953098767
"1115","T28_S__k141_945845||full",0.001897916408914,8,16,24,0.0394135059394885
"1116","T4_D_k141_485959||full",0.00152239192925749,8,16,24,0.0349083316051522
"1117","T36_S__k141_950418||full",0.00198043451364939,8,16,24,0.0395276058629358
"1119","T16_S__k141_1156290||full",0.00137785637840167,16,8,24,0.0349083316051522
"1120","T108_S__k141_557616||full",0.000407393989381523,8,16,24,0.0232598817643381
"1121","T96_S__k141_609563||full",0.001897916408914,8,16,24,0.0394135059394885
"1122","T16_S__k141_541335||full",0.000523126595685462,16,8,24,0.0247643937202889
"1124","T88_S_k141_492790||full",0.00151164136458628,12,12,24,0.0349083316051522
"1125","T56_S__k141_1077087||full",0.000115589163106357,8,16,24,0.0178720782259343
"1126","T36_S__k141_490252||full",0.001897916408914,8,16,24,0.0394135059394885
"1127","T32_S__k141_110623||full",0.000205487542495095,8,16,24,0.0197447434681597
"1130","T52_S_k141_181386||full",0.00150311604916546,16,8,24,0.0349083316051522
"1131","T64_S__k141_864872||full",0.000847920460867402,8,16,24,0.0287567945992524
"1134","T4_S__k141_98066||full",0.00293656101673843,8,16,24,0.0487193480365224
"1135","T12_S__k141_618524||full",0.000752095993182849,8,16,24,0.0283003144971709
"1137","T12_S__k141_1349029||full",0.000729479466102545,12,12,24,0.0277076326152267
"1139","T68_S__k141_1144373||full",0.00218570393484707,8,16,24,0.0417881050757103
"1140","T100_S__k141_3064||full",0.000391988835420803,8,16,24,0.0231785535064208
"1142","T0_S__k141_340874||full",0.000188363580620504,8,16,24,0.0194832470696007
"1143","T104_S__k141_80464||full",0.00129683637539079,8,16,24,0.0340951096565825
"1145","T72_S__k141_446820||full",0.00248090437031281,12,12,24,0.0441872882844828
"1146","T16_S__k141_683682||full",0.00168830439766374,16,8,24,0.0370967356488473
"1149","T36_S__k141_1272820||full",0.0010664872663559,16,8,24,0.0317983017443167
"1151","T84_S__k141_369842||full",0.000450060739282848,12,12,24,0.0242683243402119
"1153","T60_S__k141_949649||full",0.00209337833961375,16,8,24,0.0406977624370994
"1155","T84_S__k141_26678||full",0.000175855166927301,12,12,24,0.0191808874413408
"1157","T68_S__k141_80791||full",0.000947411391292494,16,8,24,0.0299388585833509
"1158","T84_S__k141_1022577||full",0.00198043451364939,8,16,24,0.0395276058629358
"1159","T68_S__k141_685679||full",6.62487053248289e-06,8,16,24,0.00899469643934016
"1160","T64_S__k141_545905||full",0.000126794191384737,12,12,24,0.0178720782259343
"1162","T28_S__k141_933389||full",0.00314758632114179,16,8,24,0.0494560923511894
"1163","T56_S__k141_14795||full",4.23896761395729e-05,16,8,24,0.0149793527543917
"1164","T60_S__k141_324432||full",0.00245569380076853,8,16,24,0.0441872882844828
"1165","T104_S__k141_114477||full",0.000346313491053934,12,12,24,0.0222849259507213
"1166","T100_S__k141_11866||full",0.00256949088964613,16,8,24,0.0450240953098767
"1167","T4_D_k141_854026||full",0.00247210453533947,16,8,24,0.0441872882844828
"1169","T88_S_k141_1017025||full",0.000858642210921759,16,8,24,0.0287567945992524
"1172","T48_S__k141_635313||full",0.000613034868727355,8,16,24,0.0263252837660094
"1173","T96_S__k141_717882||full",0.00302328272917257,8,16,24,0.0490444918765397
"1174","T12_S__k141_1228380||full",0.00131441522185242,16,4,24,0.0343918958020311
"1175","T88_S_k141_475265||full",0.000407393989381523,8,16,24,0.0232598817643381
"1176","T72_S__k141_785682||full",0.000243770546696574,8,16,24,0.0205309913659508
"1178","T16_S__k141_142474||full",0.00193234923656654,16,8,24,0.0394353515457819
"1180","T32_S__k141_1002889||full",0.000196032813738673,16,8,24,0.0197039485436387
"1182","T60_S__k141_215211||full",0.00247210453533947,16,8,24,0.0441872882844828
"1183","T72_S__k141_508473||full",0.00256246309645412,8,16,24,0.0450240953098767
"1185","T64_S__k141_376383||full",0.000167861750248787,12,12,24,0.0191808874413408
"1186","T16_D__k141_1318075||full",0.000144306548182424,8,16,24,0.0188324873252697
"1188","T96_S__k141_33116||full",0.00248090437031281,12,12,24,0.0441872882844828
"1189","T40_D__k141_20426||full",0.00256246309645412,8,16,24,0.0450240953098767
"1190","T80_S__k141_2480||full",0.000635107509707133,12,12,24,0.0263252837660094
"1191","T112_S__k141_148932||full",0.0012404521851564,8,16,24,0.0328984766827789
"1192","T76_D__k141_893903||full",0.00209067332898416,8,16,24,0.0406941832701145
"1194","T68_S__k141_788922||full",0.00176170893669259,8,16,24,0.0383981608890215
"1195","T76_S__k141_543763||full",0.000523126595685462,16,8,24,0.0247643937202889
"1196","T8_S__k141_100481||full",0.000948958204457,12,12,24,0.0299388585833509
"1197","T32_S__k141_229533||full",4.34020720101887e-05,12,12,24,0.0149793527543917
"1198","T8_S__k141_573098||full",0.00145895893220509,8,16,24,0.0349083316051522
"1199","T56_S__k141_334817||full",0.000851823795979548,12,12,24,0.0287567945992524
"1201","T80_S__k141_1136492||full",0.000179842217490854,12,12,24,0.0192714701447238
"1203","T112_D__k141_866076||full",0.00156574588454735,16,8,24,0.0356028964133435
"1204","T12_S__k141_891064||full",0.00300543183192088,8,16,24,0.0490444918765397
"1206","T48_S__k141_405207||full",0.000316199274440549,12,12,24,0.0219379361484287
"1208","T8_S__k141_1132829||full",0.0019309386686339,12,12,24,0.0394353515457819
"1209","T72_S__k141_1090683||full",0.000895974480961836,16,8,24,0.0291993621561371
"1210","T12_S__k141_797695||full",0.000811054353873167,8,16,24,0.0287567945992524
"1211","T96_S__k141_694583||full",0.00168830439766374,8,16,24,0.0370967356488473
"1212","T56_S__k141_10078||full",0.00241424169061188,8,16,24,0.0441872882844828
"1213","T64_S__k141_406735||full",0.00209067332898416,8,16,24,0.0406941832701145
"1214","T64_S__k141_299172||full",0.00105356822380256,8,20,24,0.0317983017443167
"1216","T68_S__k141_916441||full",0.000847920460867402,8,16,24,0.0287567945992524
"1217","T32_S__k141_179721||full",0.0026918475986769,8,16,24,0.0460957834875117
