"X","Virus","taxonomy_g"
369,"T16_D__k141_923878||full","GCA-2696965"
370,"T16_D__k141_924027||full","MED-G20"
371,"T16_D__k141_925135||full","GCA-2733415"
372,"T16_D__k141_925696||full","Synechococcus_C"
373,"T16_D__k141_929610||full","Joostella"
374,"T16_D__k141_947160||full","Desulfoluna"
375,"T16_D__k141_967276||full","UBA7916"
376,"T16_D__k141_968041||full","CAIJKW01"
377,"T16_D__k141_97477||full","Pelagibacter"
378,"T16_D__k141_99620||full","CS1-C013"
379,"T16_S__k141_1025639||full","Pusillimonas_A"
380,"T16_S__k141_1051567||full","GCA-2698665"
381,"T16_S__k141_1056002||full","GCA-002691585"
382,"T16_S__k141_1062061||full","ARS10"
383,"T16_S__k141_1151471||full","MED-G11"
384,"T16_S__k141_167325||full","UBA7377"
385,"T16_S__k141_269515||full","Methanobrevibacter_C"
386,"T16_S__k141_319060||0_partial","Balneola"
387,"T16_S__k141_320641||full","Hyphobacterium"
388,"T16_S__k141_322514||full","Hyphobacterium"
389,"T16_S__k141_400858||full","GCA-2689995"
390,"T16_S__k141_474614||0_partial_1","Halomonas"
391,"T16_S__k141_532760||full","Pelagibacter"
392,"T16_S__k141_603151||full","UBA7916"
393,"T16_S__k141_650373||full","GCA-2691145"
394,"T16_S__k141_687830||full","ARS21"
395,"T16_S__k141_716031||full","ARS21"
396,"T16_S__k141_757720||full","Wolbachia"
397,"T16_S__k141_826360||full","TMED108"
398,"T16_S__k141_850482||full","TMED25"
399,"T16_S__k141_891408||full","Hyphomonas"
400,"T16_S__k141_905406||full","Vibrio"
401,"T16_S__k141_979738||full","Pelagibacter"
402,"T20_S__k141_1039917||full","TMED112"
403,"T20_S__k141_1044403||full","Halomonas"
404,"T20_S__k141_1072734||full","GCA-2691145"
405,"T20_S__k141_1090038||full","TMED112"
406,"T20_S__k141_1096154||full","UBA7377"
407,"T20_S__k141_1096732||full","TMED165"
408,"T20_S__k141_1156125||full","UBA7916"
409,"T20_S__k141_1182049||full","GCA-2691145"
410,"T20_S__k141_165522||full","UBA7377"
411,"T20_S__k141_167658||full","GCA-2699365"
412,"T20_S__k141_191696||full","Actinomarina"
413,"T20_S__k141_22989||full","GCA-2687185"
414,"T20_S__k141_245185||full","Flavobacterium"
415,"T20_S__k141_245185||full","Flavobacterium"
416,"T20_S__k141_345754||full","UBA4372"
417,"T20_S__k141_358308||full","GCA-2691145"
418,"T20_S__k141_412221||full","Prochlorococcus_B"
419,"T20_S__k141_412221||full","Prochlorococcus_B"
420,"T20_S__k141_412221||full","Prochlorococcus_B"
421,"T20_S__k141_420448||0_partial","Balneola"
422,"T20_S__k141_424350||full","TMED96"
423,"T20_S__k141_442106||full","Halomonas"
424,"T20_S__k141_477041||full","Halomonas"
425,"T20_S__k141_501590||0_partial_1","Halomonas"
426,"T20_S__k141_523782||full","GCA-2691145"
427,"T20_S__k141_550455||full","TMED108"
428,"T20_S__k141_645612||full","Marinirhabdus"
429,"T20_S__k141_689598||full_1","GCA-2691145"
430,"T20_S__k141_743080||full_1","TMED48"
431,"T20_S__k141_753592||full","Hyphobacterium"
432,"T20_S__k141_778993||full","Actinomarina"
433,"T20_S__k141_904483||full","TMED-70"
434,"T20_S__k141_954038||full_1","Halomonas"
435,"T20_S__k141_95832||full","Pelagibacter"
436,"T20_S__k141_971496||full","Sediminibacterium"
437,"T24_S__k141_1006940||full","Hyphobacterium"
438,"T24_S__k141_1041012||full","GCA-2691145"
439,"T24_S__k141_1088127||full","UBA7805"
440,"T24_S__k141_1113069||full","SAR86A"
441,"T24_S__k141_1113069||full","SAR86A"
442,"T24_S__k141_1124903||full","Pelagibacter"
443,"T24_S__k141_1132236||full","Winogradskyella"
444,"T24_S__k141_160657||full","GCA-2691145"
445,"T24_S__k141_17759||full","TMED25"
446,"T24_S__k141_299692||full","Pelagibacter"
447,"T24_S__k141_299692||full","Pelagibacter"
448,"T24_S__k141_299692||full","Pelagibacter"
449,"T24_S__k141_305989||full","ARS21"
450,"T24_S__k141_355183||full","GCA-2691145"
451,"T24_S__k141_377358||full","GCA-2689925"
452,"T24_S__k141_441109||full","TMED108"
453,"T24_S__k141_47925||full","Hyphobacterium"
454,"T24_S__k141_4845||full","Jejuia"
455,"T24_S__k141_498302||full","UBA1994"
456,"T24_S__k141_563357||full","Pelagibacter"
457,"T24_S__k141_623355||full","ARK-14"
458,"T24_S__k141_674852||full","RFSX01"
459,"T24_S__k141_679539||full","Hyphobacterium"
460,"T24_S__k141_681518||full","UBA7377"
461,"T24_S__k141_745114||full","Fabibacter"
462,"T24_S__k141_90111||full","GCA-2691145"
463,"T24_S__k141_974072||full_1","Pelagibacter"
464,"T28_S__k141_1018368||full","TMED112"
465,"T28_S__k141_1085711||full","Zobellia"
466,"T28_S__k141_1097688||full","MED727"
467,"T28_S__k141_1110039||full","GCA-2691145"
468,"T28_S__k141_116343||full","Wolbachia"
469,"T28_S__k141_1169472||full","TMED108"
470,"T28_S__k141_1175414||full","TMED-70"
471,"T28_S__k141_1179025||full","TMED112"
472,"T28_S__k141_1179281||full","TMED161"
473,"T28_S__k141_1182899||full","Actinomarina"
474,"T28_S__k141_1231992||full","TMED131"
475,"T28_S__k141_1249044||full","ARS1285"
476,"T28_S__k141_1264373||full","DRJH01"
477,"T28_S__k141_147777||full","UBA1994"
478,"T28_S__k141_207297||full","Croceibacter"
479,"T28_S__k141_228831||0_partial","Marinobacter"
480,"T28_S__k141_236067||full","GCA-002700125"
481,"T28_S__k141_268834||full","Croceibacter"
482,"T28_S__k141_353088||full","UBA1096"
483,"T28_S__k141_366407||full_1","UBA7377"
484,"T28_S__k141_373162||full","MED-G52"
485,"T28_S__k141_373269||full","UBA1994"
486,"T28_S__k141_420516||full","GCA-2691145"
487,"T28_S__k141_519062||full","Flavobacterium"
488,"T28_S__k141_603415||full","UBA7377"
489,"T28_S__k141_611528||full_1","GCA-2691145"
490,"T28_S__k141_667960||full","Hyphobacterium"
491,"T28_S__k141_724052||full","Marivirga"
492,"T28_S__k141_750221||full","CACIJG01"
493,"T28_S__k141_777826||full","UBA7377"
494,"T28_S__k141_839072||full","UBA1994"
495,"T28_S__k141_933606||full","Prochlorococcus_A"
496,"T28_S__k141_94410||full_1","GCA-2710765"
497,"T28_S__k141_968551||full","GCA-002700125"
498,"T28_S__k141_998472||full","UBA7377"
499,"T32_S__k141_1003305||full","Prochlorococcus_A"
500,"T32_S__k141_1075293||full","D2472"
501,"T32_S__k141_1077005||0_partial","Rhizobium"
502,"T32_S__k141_1113354||full","UBA8316"
503,"T32_S__k141_1143154||0_partial_1","Allorhizobium"
504,"T32_S__k141_1179774||full_1","ARS21"
505,"T32_S__k141_1180540||full","Winogradskyella"
506,"T32_S__k141_1195838||full","Joostella"
507,"T32_S__k141_1271764||full","SAR86A"
508,"T32_S__k141_228023||full","Oceanihabitans"
509,"T32_S__k141_253318||full","Croceibacter"
510,"T32_S__k141_257480||full","GCA-2707915"
511,"T32_S__k141_262620||full","BRH-c54"
512,"T32_S__k141_281331||full","DT-38"
513,"T32_S__k141_303117||full","MEDG-81"
514,"T32_S__k141_336111||0_partial","Marivirga"
515,"T32_S__k141_336445||full","ARS21"
516,"T32_S__k141_340232||full","UBA1268"
517,"T32_S__k141_343320||full","Hyphobacterium"
518,"T32_S__k141_429382||full","ARS21"
519,"T32_S__k141_564054||full_1","Allorhizobium"
520,"T32_S__k141_625766||full","TMED112"
521,"T32_S__k141_693921||full","UBA1994"
522,"T32_S__k141_698880||full","Winogradskyella"
523,"T32_S__k141_730287||full","Yeosuana"
524,"T32_S__k141_769643||full","Actinomarina"
525,"T32_S__k141_825648||0_partial","Flavobacterium"
526,"T32_S__k141_82681||full","Croceibacter"
527,"T32_S__k141_847219||full","UBA952"
528,"T32_S__k141_882274||full","B72-G16"
529,"T32_S__k141_932128||full","Hyphobacterium"
530,"T32_S__k141_949784||full","TMED108"
531,"T32_S__k141_963080||full","Pelagibacter_A"
532,"T36_S__k141_102639||full","TMED48"
533,"T36_S__k141_1041185||full","GCA-2691145"
534,"T36_S__k141_104160||full","Flavobacterium"
535,"T36_S__k141_1043847||full","ARS21"
536,"T36_S__k141_107844||full","UBA1994"
537,"T36_S__k141_1093677||full","GCA-2702235"
538,"T36_S__k141_1109180||full","UBA952"
539,"T36_S__k141_1132496||full","GCA-2691145"
540,"T36_S__k141_1212150||full","AG-337-I02"
541,"T36_S__k141_1279911||full","Lacinutrix"
542,"T36_S__k141_1291131||full","TMED108"
543,"T36_S__k141_199637||full","BRH-c54"
544,"T36_S__k141_270077||full","UBA5920"
545,"T36_S__k141_272738||full","UBA7377"
546,"T36_S__k141_287851||full","Hyphobacterium"
547,"T36_S__k141_301803||full","MEDG-81"
548,"T36_S__k141_34316||full","Croceibacter"
549,"T36_S__k141_343279||full","SAR86A"
550,"T36_S__k141_343822||full","UBA985"
551,"T36_S__k141_344282||full","Flavobacterium"
552,"T36_S__k141_353639||full","TMED-70"
553,"T36_S__k141_372778||full","AG-337-I02"
554,"T36_S__k141_383165||full","Winogradskyella"
555,"T36_S__k141_383165||full","Winogradskyella"
556,"T36_S__k141_392594||full","UBA952"
557,"T36_S__k141_458468||full","UBA1096"
558,"T36_S__k141_510494||full","GCA-2691145"
559,"T36_S__k141_516508||full","Pelagibacter_A"
560,"T36_S__k141_523435||full","RFSX01"
561,"T36_S__k141_548477||full","Cyclobacterium"
562,"T36_S__k141_616165||full","Mf105b01"
563,"T36_S__k141_686428||full","ARS21"
564,"T36_S__k141_701088||full","CAIKAH01"
565,"T36_S__k141_712566||full","UBA10364"
566,"T36_S__k141_824238||full","SAR86A"
567,"T36_S__k141_830288||full","GCA-002718655"
568,"T36_S__k141_867845||full","ARS21"
