"","T0_S","T4_S","T8_S","T12_S","T16_S","T20_S","T24_S","T28_S","T32_S","T36_S","T40_S","T44_S","T48_S","T52_S","T56_S","T60_S","T64_S","T68_S","T72_S","T76_S","T80_S","T84_S","T88_S","T92_S","T96_S","T100_S","T104_S","T108_S","T112_S"
"MED-G17",642.792971266998,800.049270330696,810.941784828223,860.768161535421,928.579734954935,528.526286533609,597.847750059628,581.785713930753,846.729229402971,863.608487871687,645.007528658475,738.073187728263,620.13046281119,233.205539919512,774.803160863165,866.364068031831,750.852516666197,586.922874598898,757.411059055136,962.032948752052,713.576147809866,777.497006476699,249.844523941392,513.779758858645,608.862327621825,924.313889727908,804.843978866289,718.451124453286,690.162183416074
"MED-G52",2795.29808772535,3023.16679617463,3211.73276386827,3287.32922228062,3189.54216429052,2055.43877198377,2583.80517188311,2474.65547966324,3518.75531193975,2883.73570645428,2573.28963414214,2569.75859443159,2548.92225745495,943.406440471642,2619.99629635363,3133.70218264828,2577.89805452911,2264.06093773638,2922.80986800825,3269.95674509905,2552.17726469673,2914.33162460886,1143.85672437389,1985.1992558355,2937.31867277476,3764.69027751375,2950.60432114038,2916.5405570874,2634.55035041415
"MED-G78",158.351562187545,184.81555817025,196.617087263513,215.390984291338,160.710566044234,113.569570973244,131.745408654301,141.982236985388,178.717119250435,137.351391037777,123.033807438584,118.289289193732,95.1844087338845,33.1020790028698,111.803148675381,159.018268378462,99.3795811767018,88.3001741426638,146.238807554625,149.916542019775,93.0849502963195,143.908526711209,51.933461229657,79.7862973509594,122.537276002742,164.609267867607,158.96797669288,150.551147670162,143.345516578088
"MED727",180.682490523588,193.670062565481,254.936199540848,215.137522701931,262.481195336495,148.940350059588,177.240781969486,195.869851752161,293.553807716501,240.457032471819,184.304131981536,204.667456135006,166.270384409017,72.7234644433053,212.949175758693,220.193463317993,227.446302465298,167.261799980395,211.656635181393,226.658957529853,171.206673788914,214.028705590493,62.7753872411295,101.842637753938,144.683607043395,236.628067378515,174.219690808159,226.222344626774,163.737289395966
"MEDG-81",5569.46241584017,5924.57070954127,6343.02035795862,6378.98013373749,6998.35325839283,4149.06040663892,5306.73640391759,4703.51336426088,6983.89515189844,6004.58274369603,5192.49014018507,5028.69071185974,4985.77694536138,1807.5869292405,5159.94478676803,6168.08442842294,5228.21658445467,4593.86687394865,5637.95964691861,7276.7220790587,5485.03488353289,6180.20218350171,2213.75334857546,4109.13444016653,6163.27023329428,8565.00306179425,6662.53566653895,6213.9135428488,5420.15884024364
"MGIIa-K1",117.663411897671,158.14425643422,182.677437520877,176.420659701801,146.057072626843,147.763948380359,125.682085173441,131.213490731917,163.563999537235,167.114383804526,149.268488082025,110.119892757818,135.536342037043,41.0172886726226,150.069313520762,165.569620178786,170.400639548409,134.808115016596,142.696750970055,191.178777626726,111.435712553326,162.201143381338,58.2274960680472,92.8441881981538,150.889441844283,196.026865531416,146.667405217831,158.550292036992,136.966156841161
"MGIIa-L1",126.386433775365,166.872199025747,164.620277086519,163.825211489219,144.067155240849,107.480026116922,122.338872012734,140.401749710064,183.226058093166,147.242511468624,136.129854647702,131.417456171892,126.518400379686,43.6995689983591,130.222037251318,164.433915219401,132.734381831063,133.84515357212,158.120714126712,187.544945769012,128.916263349898,171.008811919356,54.9912836657086,117.468729404951,168.555562319827,199.173163846744,162.596035945806,188.168145624238,145.796084229755
"MGIIa-L2",82.4125308606315,127.534843255268,115.599528312972,145.90430126546,112.973131636821,71.2604376673799,111.70738545456,101.857762060476,169.131634894878,122.450342248275,107.810048406837,85.0817897953496,104.5074147388,16.3686366315724,98.0173021276014,144.88019067101,116.278589171424,82.674866885945,87.0339923045863,137.429876250933,101.383396297611,115.048250781494,53.3731327762747,71.0812537681588,0,145.16656150304,121.645864753386,112.407042411011,105.2659971069
"MS024-2A",416.056734733047,427.175697820747,534.023454238586,513.890740301895,513.543202872806,347.925549872503,350.529922621455,359.260142955529,510.216265864176,468.330362859993,384.798059405145,413.703470144183,386.142548088924,136.357142303116,418.927057450899,468.78051594569,393.566861143687,331.050547361832,404.480009190074,524.157163309648,385.898078131403,399.521949024157,152.894118709325,287.761560692871,470.87063363029,457.224803912819,453.690586740029,431.486120124052,350.043432188319
"Maribacter",113.582789707981,111.186965187849,163.470158772518,148.057785246022,155.451744239507,89.6942542135414,103.709312729691,106.610180734613,177.609483903113,157.016227214907,139.783439587075,97.2411076734582,122.947003174247,34.4965397845633,122.448339609871,122.83700290821,126.187756073687,116.395731503682,105.658329625737,131.32629046428,99.3780001193593,151.043346293894,44.8050685608473,85.2386488533669,116.97753462875,181.569306352159,165.842397362016,166.436480180168,140.024497228979
