"","virus","pVal","phase","peak.shape","period","p.adj"
"1136","T0_S__k141_16637||full",0.00177132013351933,16,8,24,0.0383981608890215
"1138","T16_S__k141_98721||full",0.00181539830417861,8,16,24,0.039039124811173
"1141","T76_S__k141_784304||full",0.00121236287629883,8,16,24,0.0326905954194876
"1144","T36_S__k141_1362744||full",0.00288528746104664,16,8,24,0.0482515468754398
"1148","T52_D__k141_282475||full",0.000488919114245499,16,12,24,0.0243358535905498
"1150","T96_S__k141_385449||full",0.00301643689109421,16,8,24,0.0490444918765397
"1154","T32_S__k141_1298978||full",0.00220368650493241,16,8,24,0.0420489086134227
"1156","T12_S__k141_377399||full",0.000600630851815147,16,8,24,0.0263252837660094
"1161","T56_S__k141_9728||full",0.000629232320949202,16,8,24,0.0263252837660094
"1168","T16_D__k141_790576||full",1.32470284659912e-07,16,12,24,0.00205761722756616
"1170","T92_S__k141_863652||full",0.00230636112641659,12,12,24,0.0432246349187704
"1171","T76_S__k141_701198||full",3.98413678378715e-05,16,12,24,0.0149568818732747
"1177","T36_S__k141_1038117||full",0.00277600168782529,8,16,24,0.047187156805196
"1179","T68_S__k141_745052||full",0.000466695518143431,16,12,24,0.0242683243402119
"1181","T60_S__k141_985228||full",0.000567698905853345,16,8,24,0.0257420623714099
"1187","T84_S__k141_274935||full",0.00212206323891069,16,8,24,0.0411069114135868
"1193","T12_S__k141_1153664||full",0.0019309386686339,12,12,24,0.0394353515457819
"1200","T8_S__k141_307442||full",0.00131522654301978,16,8,24,0.0343918958020311
"1202","T24_S__k141_189396||full",0.000600630851815147,16,8,24,0.0263252837660094
"1205","T32_S__k141_380759||full",0.000715036728351365,16,8,24,0.0275078337386082
"1207","T32_S__k141_1268896||full",0.000225030369641424,16,8,24,0.0203925391290152
"1215","T8_S__k141_112095||full",0.000851823795979548,12,12,24,0.0287567945992524
"1219","T36_S__k141_486154||full",0.000118527147224139,16,8,24,0.0178720782259343
"1222","T36_S__k141_838861||full",0.00195833645163309,16,12,24,0.0395276058629358
"1227","T28_S__k141_8672||full",0.00314758632114179,16,8,24,0.0494560923511894
"1229","T60_S__k141_229049||full",0.00193561226200387,12,12,24,0.0394353515457819
"1231","T108_S__k141_135627||full",0.00269371163933382,16,8,24,0.0460957834875117
"1233","T88_S_k141_655665||full",0.00161489985863488,8,20,24,0.0360398020064377
"1235","T84_S__k141_25551||full",0.000947411391292494,16,8,24,0.0299388585833509
"1237","T4_D_k141_751663||full",2.74757719990399e-05,8,16,24,0.0139876047649868
"1246","T108_S__k141_432244||full",0.000331256382747241,12,12,24,0.0220661404452316
"1251","T108_S__k141_7818||full",0.00106687933114297,8,16,24,0.0317983017443167
"1252","T16_S__k141_977138||full",0.00281615307748535,16,8,24,0.0476023250389042
"1253","T28_S__k141_70963||full",0.000159990213362793,8,20,24,0.0191808874413408
"1256","T12_S__k141_647989||full",2.19635602204424e-05,20,8,24,0.0139876047649868
"1265","T8_S__k141_298630||full",5.45106915417262e-05,8,16,24,0.0155284927646042
"1268","T72_S__k141_230858||full",0.000126794191384737,12,12,24,0.0178720782259343
